destination,avg_temp,hotel_price,unesco_sites,beach,hiking_score,museum_score,kid_friendly,luxury_hotels,label
Paris,12,388,1,0,9,10,1,1,Adventure
Bali,14,306,1,0,4,10,0,1,Luxury
Kyoto,21,180,7,0,1,2,0,0,Culture
Singapore,21,229,5,1,1,1,0,0,Culture
Paris,16,384,2,1,5,7,1,1,Relaxation
Cancun,14,235,5,0,1,6,1,0,Culture
Kyoto,20,242,7,1,10,2,0,0,Culture
Bali,34,416,0,0,1,6,1,1,Luxury
Athens,30,392,7,0,9,6,1,1,Culture
Cape Town,12,395,2,1,7,1,1,1,Relaxation
Kyoto,13,77,4,1,0,10,0,0,Relaxation
Barcelona,22,310,8,0,6,10,0,1,Culture
Kyoto,23,384,6,0,8,9,0,1,Culture
Paris,32,125,8,1,7,2,0,0,Culture
Athens,27,209,3,1,4,0,0,0,Relaxation
Sydney,32,238,6,0,1,7,1,0,Culture
Athens,30,274,1,1,7,5,0,1,Relaxation
Kyoto,32,54,1,1,6,0,0,0,Relaxation
Singapore,14,354,4,0,10,10,1,1,Adventure
London,23,72,3,1,5,8,1,0,Relaxation
New York,33,231,7,0,1,10,0,0,Culture
Paris,22,226,4,1,1,0,0,0,Relaxation
Kyoto,16,412,6,0,4,9,0,1,Culture
Rome,15,246,3,1,3,5,0,0,Relaxation
Athens,25,68,1,1,7,10,0,0,Relaxation
Kyoto,12,316,0,1,9,7,0,1,Relaxation
New York,30,133,2,0,6,10,1,0,Family
Sydney,24,259,3,1,6,5,1,1,Relaxation
Kyoto,16,115,6,1,8,5,0,0,Culture
Rome,18,364,4,1,10,2,0,1,Relaxation
Sydney,29,400,5,0,5,8,1,1,Culture
Cape Town,30,386,6,1,6,0,0,1,Culture
Paris,24,119,0,0,3,4,0,0,Family
Dubai,33,173,2,0,4,3,0,0,Family
London,26,97,8,0,10,8,1,0,Culture
Rome,28,401,4,0,6,6,1,1,Luxury
Athens,33,205,8,0,0,4,0,0,Culture
Cape Town,26,160,5,0,3,4,1,0,Culture
Bali,33,83,2,0,8,1,1,0,Adventure
Paris,25,187,8,1,2,2,1,0,Culture
Paris,22,283,2,0,2,5,0,1,Luxury
Athens,32,360,4,1,9,8,1,1,Relaxation
Tokyo,34,207,8,0,2,8,0,0,Culture
Athens,28,126,6,1,1,5,0,0,Culture
Cancun,18,384,5,1,5,4,0,1,Culture
Athens,31,316,7,0,1,10,1,1,Culture
Kyoto,19,373,3,0,10,5,1,1,Adventure
Cancun,15,242,4,1,0,8,1,0,Relaxation
Sydney,28,273,7,0,4,10,0,1,Culture
London,28,87,1,0,8,8,0,0,Adventure
Barcelona,14,152,3,1,1,3,1,0,Relaxation
Barcelona,14,396,2,0,7,5,0,1,Luxury
Tokyo,14,72,2,1,8,1,0,0,Relaxation
Cancun,20,253,6,1,10,6,1,1,Culture
London,12,244,1,0,10,9,0,0,Adventure
Athens,30,68,1,1,8,1,1,0,Relaxation
Athens,33,199,1,1,7,6,1,0,Relaxation
Singapore,33,60,7,0,8,3,0,0,Culture
New York,24,324,4,0,4,10,1,1,Luxury
Paris,29,329,2,0,0,0,1,1,Luxury
Sydney,29,88,4,0,5,3,1,0,Family
Cancun,32,307,2,0,2,3,1,1,Luxury
Rome,15,137,0,1,10,8,0,0,Relaxation
Dubai,33,79,4,0,3,9,1,0,Budget
London,23,110,3,0,4,9,0,0,Family
Cancun,18,207,7,1,5,9,1,0,Culture
New York,30,123,5,1,6,2,0,0,Culture
London,19,158,6,1,5,2,1,0,Culture
Cancun,27,281,7,1,4,7,0,1,Culture
Bali,32,355,1,1,2,8,0,1,Relaxation
Dubai,32,84,1,0,8,10,0,0,Adventure
Singapore,30,341,6,0,0,8,1,1,Culture
Sydney,29,286,2,1,6,3,1,1,Relaxation
Bali,26,301,8,0,6,5,0,1,Culture
Barcelona,19,359,2,0,7,2,0,1,Luxury
Cape Town,30,382,2,1,5,0,0,1,Relaxation
Athens,27,163,1,1,5,3,0,0,Relaxation
Barcelona,18,310,5,1,7,7,0,1,Culture
Paris,32,210,1,1,4,9,0,0,Relaxation
Bangkok,32,238,5,0,8,4,1,0,Culture
Cancun,19,309,6,1,5,7,1,1,Culture
Cancun,31,48,8,0,7,2,0,0,Culture
Tokyo,28,374,4,0,2,2,0,1,Luxury
London,31,412,1,0,6,5,0,1,Luxury
Kyoto,33,290,7,0,9,2,1,1,Culture
Paris,19,67,2,0,2,10,0,0,Budget
Cancun,30,120,0,0,4,2,1,0,Family
Cape Town,30,371,0,1,1,3,1,1,Relaxation
Cape Town,27,291,2,0,6,9,0,1,Luxury
Athens,30,138,8,1,2,10,1,0,Culture
Cancun,26,350,1,0,6,6,0,1,Luxury
Tokyo,12,148,8,1,2,9,0,0,Culture
Bali,27,359,0,0,1,7,0,1,Luxury
Cancun,31,321,0,1,8,6,1,1,Relaxation
Singapore,13,402,8,1,3,7,1,1,Culture
London,30,401,1,1,2,4,1,1,Relaxation
Athens,19,87,4,1,4,3,0,0,Relaxation
New York,12,340,8,0,8,0,1,1,Culture
Barcelona,18,397,5,1,5,1,0,1,Culture
Bangkok,32,344,4,1,8,6,1,1,Relaxation
Cape Town,20,393,6,0,6,8,1,1,Culture
Bali,23,331,8,1,4,4,1,1,Culture
Athens,34,248,2,0,3,7,0,0,Family
Tokyo,18,305,6,1,8,9,0,1,Culture
Bali,24,370,0,0,2,7,1,1,Luxury
Tokyo,14,179,3,1,1,9,0,0,Relaxation
New York,24,250,8,1,9,0,0,0,Culture
Barcelona,27,269,0,0,10,8,1,1,Adventure
Rome,13,351,8,0,9,2,0,1,Culture
London,19,380,0,0,1,4,1,1,Luxury
London,33,247,6,0,8,0,0,0,Culture
Cancun,14,326,4,1,5,4,0,1,Relaxation
Cape Town,18,277,6,0,4,2,1,1,Culture
Sydney,15,331,1,1,5,1,1,1,Relaxation
Cancun,29,339,4,1,6,9,1,1,Relaxation
Athens,19,218,7,1,9,0,1,0,Culture
Tokyo,20,79,6,0,10,3,1,0,Culture
Bangkok,23,309,8,0,4,3,1,1,Culture
Tokyo,24,389,5,0,8,2,1,1,Culture
London,23,156,4,0,10,3,1,0,Adventure
New York,18,165,3,1,3,3,0,0,Relaxation
Singapore,19,361,5,0,1,1,0,1,Culture
Barcelona,33,297,0,0,7,5,1,1,Luxury
Kyoto,30,185,7,0,8,4,1,0,Culture
Rome,30,110,0,1,7,8,0,0,Relaxation
Sydney,23,246,2,1,1,8,1,0,Relaxation
London,34,49,0,0,6,9,0,0,Budget
London,23,358,4,0,8,4,0,1,Adventure
Dubai,27,358,5,1,2,7,1,1,Culture
Rome,25,403,5,1,6,4,1,1,Culture
Bali,30,112,3,0,4,3,1,0,Family
Singapore,24,145,2,0,7,0,0,0,Family
Bangkok,27,113,8,1,7,4,1,0,Culture
Sydney,30,69,6,0,2,0,0,0,Culture
Singapore,20,288,1,1,5,4,1,1,Relaxation
London,29,330,4,1,0,6,0,1,Relaxation
London,33,355,3,0,4,5,1,1,Luxury
Barcelona,28,294,7,0,6,9,1,1,Culture
Kyoto,32,119,2,1,6,10,1,0,Relaxation
Singapore,14,85,2,1,3,5,1,0,Relaxation
Barcelona,21,408,4,1,4,7,1,1,Relaxation
New York,30,311,7,1,2,2,0,1,Culture
Bali,19,383,4,0,3,2,1,1,Luxury
Tokyo,15,77,7,0,0,6,0,0,Culture
Tokyo,20,361,2,0,10,6,1,1,Adventure
Rome,19,190,7,0,2,8,0,0,Culture
Paris,13,384,5,1,7,7,1,1,Culture
Sydney,26,114,8,0,9,9,1,0,Culture
Barcelona,32,333,6,1,5,7,0,1,Culture
Athens,14,271,4,1,6,4,0,1,Relaxation
Dubai,12,45,8,0,5,4,1,0,Culture
Sydney,12,397,7,1,4,0,1,1,Culture
Athens,21,350,3,0,8,5,0,1,Adventure
Bangkok,29,268,6,0,2,10,1,1,Culture
Singapore,24,157,4,0,6,10,0,0,Family
Sydney,31,400,4,1,10,8,1,1,Relaxation
Bangkok,18,80,2,0,4,1,1,0,Family
Cape Town,26,184,7,0,5,0,0,0,Culture
Paris,29,56,2,0,4,4,0,0,Budget
New York,26,417,0,0,1,2,0,1,Luxury
Kyoto,18,220,6,1,7,5,1,0,Culture
New York,13,214,1,0,0,4,1,0,Family
Tokyo,29,285,2,0,4,6,0,1,Luxury
Tokyo,34,172,6,1,3,0,0,0,Culture
Kyoto,15,311,3,1,6,10,1,1,Relaxation
Cancun,22,126,0,0,4,7,1,0,Family
Rome,23,71,3,0,3,10,1,0,Budget
London,12,130,4,0,6,3,0,0,Family
Paris,30,398,7,0,5,1,0,1,Culture
Bali,27,91,5,0,0,5,0,0,Culture
New York,29,99,2,1,3,5,1,0,Relaxation
Athens,26,420,3,0,6,5,0,1,Luxury
Dubai,13,293,7,1,8,7,0,1,Culture
Cape Town,17,323,5,1,7,4,0,1,Culture
Tokyo,28,124,7,1,4,8,1,0,Culture
Kyoto,12,371,8,1,2,0,1,1,Culture
Athens,31,167,5,0,10,8,1,0,Culture
Rome,28,394,7,0,9,4,1,1,Culture
Bangkok,32,209,1,0,8,10,0,0,Adventure
Paris,16,136,0,0,1,7,0,0,Family
Tokyo,13,337,6,1,8,9,1,1,Culture
Paris,23,158,1,0,3,10,1,0,Family
Cancun,14,284,0,1,8,6,1,1,Relaxation
Athens,34,74,4,0,1,4,0,0,Budget
Rome,28,94,1,0,8,6,0,0,Adventure
Rome,28,381,3,0,8,8,1,1,Adventure
New York,15,371,5,1,10,6,0,1,Culture
Bali,17,326,6,1,10,2,1,1,Culture
Cancun,23,206,8,1,5,6,1,0,Culture
Singapore,22,356,3,0,6,8,1,1,Luxury
London,26,274,6,0,0,4,0,1,Culture
Sydney,16,199,0,1,3,3,1,0,Relaxation
Paris,34,186,8,0,1,0,1,0,Culture
London,16,115,4,1,9,3,0,0,Relaxation
Dubai,21,92,6,0,1,5,1,0,Culture
Bali,27,398,1,1,0,9,1,1,Relaxation
Tokyo,13,216,5,1,6,1,0,0,Culture
New York,32,353,0,1,0,4,0,1,Relaxation
London,29,334,2,1,8,3,0,1,Relaxation
Paris,33,419,6,1,9,9,0,1,Culture
Rome,25,193,6,0,2,5,0,0,Culture
Kyoto,30,70,8,1,4,1,1,0,Culture
Sydney,25,402,2,0,7,8,0,1,Luxury
Kyoto,24,378,3,0,3,1,1,1,Luxury
Athens,25,210,1,0,10,6,1,0,Adventure
London,23,142,5,1,9,10,0,0,Culture
Athens,21,131,5,1,9,2,1,0,Culture
Paris,19,147,5,0,1,1,0,0,Culture
Rome,31,120,4,0,5,1,1,0,Family
Kyoto,27,56,5,0,8,3,0,0,Culture
Sydney,28,177,8,1,9,2,0,0,Culture
Bangkok,30,384,8,0,4,2,0,1,Culture
Dubai,18,401,4,0,7,10,0,1,Luxury
Tokyo,24,383,4,1,1,0,1,1,Relaxation
Singapore,32,242,3,1,8,1,1,0,Relaxation
Kyoto,31,317,1,0,3,8,1,1,Luxury
Sydney,34,56,0,0,8,4,1,0,Adventure
Kyoto,24,125,0,1,10,5,1,0,Relaxation
Barcelona,21,165,8,1,0,10,1,0,Culture
Cancun,24,60,8,1,3,2,1,0,Culture
Cancun,24,381,2,0,6,8,0,1,Luxury
Bangkok,19,338,2,1,4,9,1,1,Relaxation
Kyoto,29,112,3,0,9,8,0,0,Adventure
Singapore,16,203,8,0,6,2,0,0,Culture
London,14,330,8,0,2,5,0,1,Culture
New York,12,208,6,1,4,7,1,0,Culture
Bali,18,99,2,0,0,9,1,0,Family
Cape Town,30,358,3,0,3,10,0,1,Luxury
London,14,397,7,0,8,9,1,1,Culture
New York,32,236,2,1,7,7,0,0,Relaxation
Bali,18,160,0,1,0,4,1,0,Relaxation
Rome,33,148,3,0,2,7,1,0,Family
New York,22,279,3,1,6,0,1,1,Relaxation
New York,22,246,8,0,8,1,1,0,Culture
Kyoto,13,170,8,1,0,8,1,0,Culture
Sydney,32,70,3,1,7,6,1,0,Relaxation
Athens,21,281,2,1,4,9,0,1,Relaxation
New York,28,117,7,1,1,8,0,0,Culture
Bali,30,401,8,0,6,6,1,1,Culture
Kyoto,12,136,7,0,7,1,1,0,Culture
London,34,377,2,0,1,1,1,1,Luxury
Barcelona,23,88,8,1,8,9,0,0,Culture
Bangkok,29,239,0,0,5,9,0,0,Family
Bali,16,136,0,1,4,4,1,0,Relaxation
Dubai,32,137,1,0,3,0,1,0,Family
Paris,26,299,7,0,9,7,0,1,Culture
Rome,30,382,7,1,6,7,0,1,Culture
Cape Town,31,48,3,1,9,10,0,0,Relaxation
Paris,17,120,0,1,0,2,0,0,Relaxation
Barcelona,30,353,4,1,1,0,0,1,Relaxation
Bangkok,17,127,4,0,7,9,1,0,Family
Cancun,13,92,4,1,5,6,0,0,Relaxation
Athens,25,326,1,1,7,2,0,1,Relaxation
New York,20,213,8,1,8,3,0,0,Culture
Cape Town,13,100,8,0,7,9,1,0,Culture
Bangkok,31,207,4,1,2,9,1,0,Relaxation
Sydney,32,299,7,0,9,3,1,1,Culture
Rome,12,105,0,1,10,1,0,0,Relaxation
Athens,31,257,6,0,5,5,0,1,Culture
Paris,32,148,4,1,1,4,1,0,Relaxation
Sydney,29,210,0,0,10,5,1,0,Adventure
Bangkok,30,360,0,0,3,5,1,1,Luxury
Cancun,33,290,7,0,10,2,1,1,Culture
Bali,32,280,8,1,7,6,0,1,Culture
Singapore,28,198,5,0,3,9,1,0,Culture
Athens,23,78,2,1,0,5,1,0,Relaxation
Barcelona,29,129,6,0,9,1,1,0,Culture
New York,22,408,0,1,6,1,1,1,Relaxation
Cancun,19,235,7,1,3,8,1,0,Culture
Bali,15,236,0,0,1,7,0,0,Family
Athens,27,301,2,0,5,7,1,1,Luxury
Athens,22,118,1,0,3,0,1,0,Family
Bangkok,34,312,1,0,4,0,0,1,Luxury
London,26,68,1,1,0,9,1,0,Relaxation
Barcelona,18,209,3,0,4,4,1,0,Family
Athens,26,388,1,1,2,2,1,1,Relaxation
Tokyo,12,363,8,0,3,8,1,1,Culture
Sydney,22,183,2,1,9,3,0,0,Relaxation
Tokyo,21,358,5,1,0,2,0,1,Culture
Kyoto,33,70,1,1,0,1,1,0,Relaxation
Bangkok,17,405,7,1,4,5,0,1,Culture
New York,33,318,1,1,9,2,0,1,Relaxation
Singapore,34,284,1,1,4,10,1,1,Relaxation
Kyoto,19,159,2,1,5,6,0,0,Relaxation
New York,33,214,5,1,7,0,0,0,Culture
Kyoto,15,224,7,1,2,4,1,0,Culture
Cape Town,30,110,8,0,6,1,1,0,Culture
Sydney,32,81,4,1,6,9,1,0,Relaxation
Rome,31,169,8,0,7,6,0,0,Culture
London,18,400,6,1,9,5,0,1,Culture
Bali,33,387,1,1,1,9,1,1,Relaxation
London,29,94,7,0,4,6,0,0,Culture
Cape Town,15,395,6,1,7,10,0,1,Culture
Tokyo,18,116,0,0,10,2,1,0,Adventure
Sydney,21,244,7,0,3,10,1,0,Culture
Dubai,30,392,4,1,5,1,0,1,Relaxation
Cape Town,28,251,2,1,0,5,0,1,Relaxation
Paris,34,331,5,0,4,0,0,1,Culture
Bangkok,34,347,6,1,6,6,1,1,Culture
Bangkok,29,153,2,1,2,3,1,0,Relaxation
Singapore,23,258,2,1,10,2,0,1,Relaxation
Paris,14,376,0,0,7,10,1,1,Luxury
Bali,14,115,6,1,9,6,0,0,Culture
Kyoto,28,262,8,1,6,5,0,1,Culture
Bali,25,354,0,1,3,8,1,1,Relaxation
Bangkok,29,340,5,0,0,9,1,1,Culture
New York,23,102,7,0,2,8,1,0,Culture
Kyoto,28,85,8,0,3,7,0,0,Culture
Barcelona,32,321,4,0,5,8,0,1,Luxury
Kyoto,26,307,7,1,6,5,1,1,Culture
Dubai,17,63,4,1,0,10,1,0,Relaxation
Cape Town,17,338,0,1,9,0,1,1,Relaxation
Kyoto,14,109,8,0,4,4,0,0,Culture
Cape Town,20,185,4,0,1,9,0,0,Family
Cancun,30,122,7,1,2,4,0,0,Culture
Kyoto,17,315,0,1,1,2,0,1,Relaxation
Singapore,27,256,6,0,10,7,0,1,Culture
Rome,30,420,5,0,10,4,0,1,Culture
Paris,17,282,6,1,4,7,0,1,Culture
Bangkok,33,406,6,1,4,2,1,1,Culture
Paris,21,274,6,1,8,10,0,1,Culture
Tokyo,29,371,5,1,9,10,1,1,Culture
London,20,181,1,1,10,9,1,0,Relaxation
Kyoto,33,168,3,1,10,2,1,0,Relaxation
Sydney,12,389,0,0,0,6,0,1,Luxury
Sydney,15,395,7,1,3,4,1,1,Culture
Rome,13,57,1,0,9,10,0,0,Adventure
Cape Town,32,107,1,0,9,2,1,0,Adventure
Barcelona,32,334,2,0,2,4,1,1,Luxury
Kyoto,33,83,7,1,6,10,1,0,Culture
Dubai,17,82,4,0,6,6,1,0,Family
Paris,20,180,2,1,1,7,0,0,Relaxation
Cape Town,24,136,7,0,2,8,1,0,Culture
Rome,31,374,1,1,4,1,0,1,Relaxation
Tokyo,14,337,4,1,0,7,0,1,Relaxation
Barcelona,32,45,0,1,4,2,1,0,Relaxation
Cancun,24,339,0,1,7,6,1,1,Relaxation
Singapore,14,321,3,0,6,7,0,1,Luxury
Cape Town,29,228,5,1,6,0,0,0,Culture
London,29,219,1,1,4,10,0,0,Relaxation
Bali,29,65,6,0,4,6,0,0,Culture
Barcelona,34,228,7,0,10,7,0,0,Culture
Bali,13,143,0,0,7,6,0,0,Family
Athens,29,374,4,1,8,7,0,1,Relaxation
Paris,22,73,5,0,6,1,0,0,Culture
Athens,32,386,8,1,10,8,0,1,Culture
New York,30,164,1,0,2,7,0,0,Family
Kyoto,31,68,3,0,0,2,0,0,Budget
Cancun,21,94,7,0,9,1,0,0,Culture
Tokyo,27,349,3,0,3,6,1,1,Luxury
Athens,33,250,5,0,10,9,0,0,Culture
London,18,68,2,1,1,1,1,0,Relaxation
Bali,25,131,5,0,7,3,0,0,Culture
Bali,15,368,6,0,0,7,0,1,Culture
Paris,12,136,1,1,6,7,0,0,Relaxation
Rome,16,372,4,1,6,3,0,1,Relaxation
Cape Town,34,64,2,1,9,1,1,0,Relaxation
London,25,47,8,0,3,1,0,0,Culture
Cape Town,23,321,8,0,7,10,0,1,Culture
Dubai,13,144,1,0,10,7,1,0,Adventure
Bali,17,388,0,0,10,5,1,1,Adventure
Rome,25,173,5,1,0,1,0,0,Culture
Cancun,29,135,2,0,7,8,0,0,Family
Tokyo,19,414,7,1,6,3,1,1,Culture
Rome,15,211,3,0,3,6,0,0,Family
Bangkok,19,82,7,1,0,6,0,0,Culture
Rome,31,277,2,1,5,2,1,1,Relaxation
New York,18,368,5,1,3,5,0,1,Culture
Paris,34,336,0,1,2,1,1,1,Relaxation
Kyoto,25,132,5,0,4,9,0,0,Culture
Athens,32,358,2,0,1,6,1,1,Luxury
Singapore,18,347,7,1,4,0,1,1,Culture
New York,19,171,5,1,9,3,0,0,Culture
Cancun,30,47,6,0,0,7,0,0,Culture
Bangkok,28,246,7,0,7,7,0,0,Culture
Tokyo,29,51,6,0,2,5,1,0,Culture
Rome,32,91,0,1,10,4,0,0,Relaxation
New York,26,337,0,1,7,2,1,1,Relaxation
Bali,23,365,7,0,10,1,1,1,Culture
Cancun,34,215,8,0,4,6,1,0,Culture
New York,31,322,3,0,9,5,0,1,Adventure
Sydney,33,231,0,0,6,5,1,0,Family
Cape Town,13,232,5,0,10,8,0,0,Culture
Sydney,34,149,2,1,3,8,0,0,Relaxation
Barcelona,27,342,3,0,5,5,1,1,Luxury
Sydney,33,261,4,0,1,5,1,1,Luxury
Kyoto,27,301,8,0,7,8,1,1,Culture
Kyoto,31,233,1,0,7,1,0,0,Family
Bangkok,17,192,1,0,2,4,0,0,Family
New York,16,299,2,0,8,10,0,1,Adventure
Dubai,25,394,8,0,7,5,1,1,Culture
Kyoto,32,55,4,0,1,0,0,0,Budget
Singapore,28,375,5,1,9,5,1,1,Culture
Kyoto,30,385,8,1,7,4,0,1,Culture
Cancun,21,132,4,0,7,5,1,0,Family
Athens,13,120,5,1,7,2,0,0,Culture
New York,29,191,2,0,10,2,0,0,Adventure
Rome,15,66,5,0,7,4,1,0,Culture
Bali,18,332,0,1,5,2,1,1,Relaxation
Kyoto,29,128,8,1,1,0,1,0,Culture
Cancun,27,119,7,1,2,0,1,0,Culture
Barcelona,34,196,7,1,9,10,0,0,Culture
Athens,30,418,7,1,1,7,0,1,Culture
Bali,33,327,1,1,0,6,0,1,Relaxation
Kyoto,23,92,5,0,9,10,0,0,Culture
Cape Town,28,158,4,0,0,1,1,0,Family
Barcelona,33,89,8,1,3,7,1,0,Culture
Cape Town,31,306,0,1,6,2,1,1,Relaxation
London,24,235,0,1,5,5,1,0,Relaxation
Kyoto,29,89,3,1,6,7,1,0,Relaxation
Bali,25,418,6,0,9,9,0,1,Culture
Bali,18,200,7,1,1,9,1,0,Culture
Tokyo,12,254,4,1,2,8,1,1,Relaxation
New York,30,115,3,0,6,4,1,0,Family
Paris,21,344,4,1,8,7,0,1,Relaxation
Paris,12,123,4,1,10,10,1,0,Relaxation
Tokyo,32,385,4,1,2,7,0,1,Relaxation
Paris,15,186,7,0,9,5,1,0,Culture
Cape Town,25,177,7,0,5,8,0,0,Culture
Singapore,20,128,0,0,5,7,0,0,Family
London,17,72,4,1,6,10,1,0,Relaxation
Paris,21,194,8,0,8,3,0,0,Culture
Athens,15,351,2,1,5,10,1,1,Relaxation
Dubai,33,402,5,0,8,9,1,1,Culture
Singapore,16,51,2,1,5,7,1,0,Relaxation
London,17,97,3,0,8,3,0,0,Adventure
Athens,29,359,8,0,6,7,0,1,Culture
Tokyo,16,53,7,1,4,5,0,0,Culture
Singapore,26,350,8,1,2,4,0,1,Culture
New York,15,158,2,0,3,4,0,0,Family
Rome,16,85,6,0,1,0,1,0,Culture
Athens,25,66,3,0,0,10,0,0,Budget
Kyoto,15,174,0,0,4,10,0,0,Family
Athens,15,108,3,0,2,10,1,0,Family
Paris,14,119,4,1,5,2,0,0,Relaxation
Sydney,30,79,1,0,8,3,0,0,Adventure
Dubai,17,320,0,0,3,8,1,1,Luxury
London,34,346,2,1,10,1,0,1,Relaxation
Singapore,23,239,6,0,8,3,1,0,Culture
Tokyo,22,108,7,0,8,2,1,0,Culture
Athens,23,405,4,0,1,5,1,1,Luxury
Tokyo,24,190,7,1,10,7,0,0,Culture
Sydney,25,193,6,0,1,7,1,0,Culture
Bali,12,390,7,0,6,7,0,1,Culture
Tokyo,16,247,6,0,2,1,1,0,Culture
Rome,22,147,6,0,3,6,1,0,Culture
Dubai,34,342,4,1,5,7,1,1,Relaxation
Kyoto,28,187,2,1,1,1,1,0,Relaxation
Kyoto,27,163,2,0,1,0,0,0,Family
Kyoto,33,58,2,1,9,10,1,0,Relaxation
Bali,21,363,1,0,10,8,1,1,Adventure
Athens,26,148,4,1,7,8,1,0,Relaxation
